line_id	speaker	jp_name	jp_text	cn_name	cn_text	tw_name	tw_text	vn_name	vn_text
52			抱っこをすれば、れいなは悲鳴じみた声を出す。\nその声に、僕の方まで驚かされる。		玲奈见我将她抱起，发出了近乎于尖叫的声音，把我也吓了一跳。		玲奈見我將她抱起，發出了近乎於尖叫的聲音，把我也嚇了一跳。		
53	双鉄		「どこか痛むのか？」	双铁	「有哪里弄痛你了吗？」	雙鐵	「有哪裡弄痛你了嗎？」		
54	れいな		「いいええ、あのっ――\nれいな、ちょっとびっくりしちゃっただけですぅ」	玲奈	「没、没有，那个——玲奈只是吓了一跳」	玲奈	「沒、沒有，那個——玲奈只是嚇了一跳」		
55	双鉄		「何故驚く？」	双铁	「有什么好惊讶的？」	雙鐵	「有什麼好驚訝的？」		
56	れいな		「整備[ボディ]体では――だっこ、\nほとんどされることってないですからぁ」	玲奈	「因为玲奈在使用整备体的的时候，没怎么被人抱起来过呢」	玲奈	「因為玲奈在使用整備體的的時候，沒怎麼被人抱起來過呢」		
57	双鉄		「ああ」	双铁	「这样啊」	雙鐵	「這樣啊」		
58			\x%lレイルロオド;#00ffc040;レイルロオド%l;#;と言えば抱っこと、\n考えるまでもなく体が動いてしまっていたが。		因为玲奈是\x%lレイルロオド;#00ffc040;铁路人偶%l;#;，我就不假思索地将她抱了起来。		因為玲奈是\x%lレイルロオド;#00ffc040;鐵路人偶%l;#;，我就不假思索地將她抱了起來。		
59			確かに、いつも抱っこするハチロクは\n運転ボディ――人形サイズの方の体だ。		但转念一想，我平时的确只抱过八六的驾驶体——只有人偶大小的身体。		但轉念一想，我平時的確只抱過八六的駕駛體——只有人偶大小的身體。		
60	双鉄		「驚かせてすまなかったな。\nもしもイヤなら」	双铁	「不好意思吓到你了。要是你不愿意——」	雙鐵	「不好意思嚇到你了。要是你不願意——」		
61	れいな		「いやじゃないです！\nだっこ、楽ちんでうれしいですぅ」	玲奈	「没有不愿意！被抱着很轻松，玲奈很开心」	玲奈	「沒有不願意！被抱著很輕鬆，玲奈很開心」		
62			極めて素直な感想を言い、\nれいなはグ、と首を伸ばす。		玲奈诚实地说出了自己的感想，然后伸长脖子眺望。		玲奈誠實地說出了自己的感想，然後伸長脖子眺望。		
63	れいな		「それに、遠くまで見えますよぉ。これならきっと、\nなぁんでもすぐに見つけられちゃいますぅ」	玲奈	「而且这样可以看好远。不管要找什么，一定都能马上找到的」	玲奈	「而且這樣可以看好遠。不管要找什麼，一定都能馬上找到的」		
64	双鉄		「頼もしいな。よろしく頼む」	双铁	「真让人放心啊。那就交给你了」	雙鐵	「真讓人放心啊。那就交給你了」		
65	れいな		「はいですぅ」	玲奈	「好的」	玲奈	「好的」		
66			ニコニコ笑うれいなを抱え、\nそのまま再び歩き出す。		我抱着喜笑颜开的玲奈，再次迈开脚步。		我抱著喜笑顏開的玲奈，再次邁開腳步。		
67			歩けばすぐに、れいなは「そおだ」と、\n喜びに満ちた声を出す。		才没走一会儿，就听到玲奈乐呵呵地说了一句“啊，对了”。		才沒走一會，就聽到玲奈樂呵呵地說了一句“啊，對了”。		
68	れいな		「黄鉄鉱の結晶が、どんなに真四角でピカピカか、\n実際、見てみれば一番わかりやすいですよぉ」	玲奈	「黄铁矿的结晶有多四四方方、闪闪发亮，实际看一看就能明白了」	玲奈	「黃鐵礦的結晶有多四四方方、閃閃發亮，實際看一看就能明白了」		
69	双鉄		「それはそうだろうが――\nそう簡単に見れるものなのか？」	双铁	「那是没错——可是有那么容易见到吗？」	雙鐵	「那是沒錯——可是有那麼容易見到嗎？」		
70	れいな		「はいですぅ！　れいな、一個持ってますから、\n今度みせてあげますねぇ」	玲奈	「是的！玲奈有一块的，下次带来给你看哦」	玲奈	「是的！玲奈有一塊的，下次帶來給你看哦」		
71	双鉄		「うむ、楽しみにさせてもらおう」	双铁	「嗯，真让人期待呀」	雙鐵	「嗯，真讓人期待呀」		
72			感心しながら頷けば、話が繋がったように感じる。\nそれほど面白そうなものであるなら――		我敬佩地点着头，忽然感觉受到了某种启发。既然黄铁矿是这么有意思的东西——		我敬佩地點著頭，忽然感覺受到了某種啟發。既然黃鐵礦是這麼有意思的東西——		
73	双鉄		「では、その掘り出した[おうてっこう,2]黄鉄鉱は、\nアクセサリーか何かとして利用されるのか？」	双铁	「那么，你们采挖到的黄铁矿，会用来制作饰品之类的东西吗？」	雙鐵	「那麼，你們採挖到的黃鐵礦，會用來製作飾品之類的東西嗎？」		
74	れいな		「そおですねぇ。すごーくきれいに結晶化してるのは、\nおみやげものでも売られますよぉ」	玲奈	「玲奈想想哦。那些特别漂亮的结晶，也会当纪念品来卖哦」	玲奈	「玲奈想想哦。那些特別漂亮的結晶，也會當紀念品來賣哦」		
75	双鉄		「土産物、“でも”、か」	双铁	「“也会”当纪念品来卖吗」	雙鐵	「“也會”當紀念品來賣嗎」		
76			と、いうことはそれはあくまで例外的なものなのだろう。		也就是说，这只属于例外吧。		也就是說，這只屬於例外吧。		
77			他の可能性を考えてみるが……\n僕の中にある知識では、どうにも答えにたどり着けない。		我试着猜想其它的用途……但以我的知识储备，实在是找不到答案。		我試著猜想其它的用途……但以我的知識儲備，實在是找不到答案。		
78	双鉄		「ならば、土産物以外の――\n黄鉄鉱の、主たる使われ方とは、どんなものなのだ？」	双铁	「那么，除了纪念品以外——黄铁矿主要的用途是什么？」	雙鐵	「那麼，除了紀念品以外——黃鐵礦主要的用途是什麼？」		
79			手首を曲げて「お手上げだ」、と示してみせれば、\nれいなは楽しげに微笑みながら教えてくれる。		玲奈见我朝上翻起手腕做出“投降”的动作，开心地回答道。		玲奈見我朝上翻起手腕做出“投降”的動作，開心地回答道。		
80	れいな		「さっきいったとおり、黄鉄鉱は鉄と硫黄の鉱石なんです。\nだから主には、[りゅうさん,1]硫酸の原料にされていましたぁ」	玲奈	「就像玲奈刚才说的，黄铁矿是含铁与硫磺的矿石。所以主要被用作硫酸的原料」	玲奈	「就像玲奈剛才說的，黃鐵礦是含鐵與硫磺的礦石。所以主要被用作硫酸的原料」		
81	双鉄		「ほおお、鉄鉱石から[りゅうさん,1]硫酸が取れるのか。\nなんとも不思議な……イメージしづらい話だな」	双铁	「哦——能够从矿石中提取到硫酸吗。真是神奇……有点让人难以想象啊」	雙鐵	「哦——能夠從礦石中提取到硫酸嗎。真是神奇……有點讓人難以想像啊」		
82	れいな		「うふふぅ、不思議ですよねぇ」	玲奈	「嘿嘿嘿，很神奇对吧」	玲奈	「嘿嘿嘿，很神奇對吧」		
83			れいなの瞳が、普段にも増してあたたかになる。		玲奈的眼神变得比平常更加温暖。		玲奈的眼神變得比平常更加溫暖。		
84	れいな		「その硫酸からセルロイドができる、って聞いたとき、\nれいな、人間ってすごいんだなぁって思いましたぁ」	玲奈	「当初听说提取到的硫磺能够用来制作赛璐珞，玲奈就觉得人类真是厉害」	玲奈	「當初聽說提取到的硫磺能夠用來製作賽璐珞，玲奈就覺得人類真是厲害」		
85	双鉄		「セルロイド……とは、\nあの、キラキラしたような透明なような――」	双铁	「赛璐珞……就是那个又有点透明又有点闪闪发光的——」	雙鐵	「賽璐珞……就是那個又有點透明又有點閃閃發光的——」		
86	れいな		「そのセルロイドですよぉ。黄鉄鉱から取れる硫酸と、\n[しょうさん,1]硝酸とセルロースから作るって、教えてもらいましたぁ」	玲奈	「就是那个赛璐珞。他们告诉玲奈，那是使用从黄铁矿中提取到的硫磺以及硝酸、纤维素制成的」	玲奈	「就是那個賽璐珞。他們告訴玲奈，那是使用從黃鐵礦中提取到的硫磺以及硝酸、纖維素製成的」		
87	双鉄		「そうなのか――あれはなにか、プラスチックの類で……\n石油か何かから作っているのかと思っていたが」	双铁	「是这样啊——我还以为那个属于塑料类……是用石油之类的东西制成的」	雙鐵	「是這樣啊——我還以為那個屬於塑膠類……是用石油之類的東西製成的」		
88	れいな		「あ！　それも今では、ある意味正解かもですぅ」	玲奈	「啊！放在现在的话，这个说法应该也算正确的」	玲奈	「啊！放在現在的話，這個說法應該也算正確的」		
89	双鉄		「ふむ？　ある意味、とは」	双铁	「嗯？为什么是“也算正确”？」	雙鐵	「嗯？為什麼是“也算正確”？」		
90			聞けばフッ――と、\nれいなの顔に淋しげな影が差してしまう。		听我这么一问，玲奈脸上的光彩黯淡了几分。		聽我這麼一問，玲奈臉上的光彩黯淡了幾分。		
91	れいな		「今は、硫酸って黄鉄鉱から採らないんですぅ。\n石油を精製するときに出る硫黄から採るのがほとんどで」	玲奈	「现在已经不再从黄铁矿中提取硫酸了。一般都是从精炼石油时得到的硫磺中提取」	玲奈	「現在已經不再從黃鐵礦中提取硫酸了。一般都是從精鍊石油時得到的硫磺中提取」		
92	双鉄		「なるほど。原油由来の硫酸でもセルロイドは作れるのか。\nゆえに、『ある意味正解』ということになるのだな」	双铁	「原来如此。从原油中提取到的硫酸也能制作赛璐珞吗。所以才是“也算正确”」	雙鐵	「原來如此。從原油中提取到的硫酸也能製作賽璐珞嗎。所以才是“也算正確”」		
93	れいな		「そおですねぇ」	玲奈	「是呀」	玲奈	「是呀」		
94			ほにゃん、と柔らかな頷き。		她轻轻地点点头。		她輕輕地點點頭。		
95			そのあどけないような仕草を見れば、\nしみじみとした感慨が胸に湧いてくる。		看到她如此充满稚气的举止，我不禁感慨万千。		看到她如此充滿稚氣的舉止，我不禁感慨萬千。		
96	双鉄		「……外見からはとても想像できないほどに、\nれいなは骨太で硬派な知識を持っているのだなぁ」	双铁	「……从你的外表上完全看不出你掌握着如此专业而扎实的知识啊」	雙鐵	「……從你的外表上完全看不出你掌握著如此專業而紮實的知識啊」		
97			気持ちを素直に出した言葉は、\nれいなをふふっ、と、嬉しげな笑顔に戻してくれる。		听到我率直的感想，玲奈开心地笑了起来。		聽到我率直的感想，玲奈開心地笑了起來。		
98	れいな		「教わったんです。技師さんとか、流しの鉱夫さんとか。\n鉱山には、物知りさんたちがたくさんですからぁ」	玲奈	「是技工和流动矿工告诉玲奈的。矿山里有许多博学多识的人」	玲奈	「是技工和流動礦工告訴玲奈的。礦山裡有許多博學多識的人」		
99	双鉄		「流しの鉱夫？」	双铁	「流动矿工？」	雙鐵	「流動礦工？」		
100	れいな		「鉱山から鉱山をめぐる鉱夫さんのことです。\n炭鉱の話もれいな、だから、ちょっとは知ってるんです」	玲奈	「就是来往于多座矿山之间的矿工。玲奈也是从他们那稍稍了解了一些煤矿的知识」	玲奈	「就是來往於多座礦山之間的礦工。玲奈也是從他們那稍稍了解了一些煤礦的知識」		
101	双鉄		「なるほどな」	双铁	「原来如此啊」	雙鐵	「原來如此啊」		
102			であれば、炭鉱本体の視察からも、\n有意な成果を得られるだろう。		既然如此，对煤矿本身的视察应该也能够得到好的成果。		既然如此，對煤礦本身的視察應該也能夠得到好的成果。		
103			電源を確保できれば、マイントレジャーにとどまらず、\n地域全体の活性化……も――		只要能保证电力供应，不单单是煤探乐园，或许还能给整片地区带来生机——		只要能保證電力供應，不單單是煤探樂園，或許還能給整片地區帶來生機——		
104	れいな		「あれれ？　そうてつさん、どうしましたぁ？」	玲奈	「哎呀？双铁先生，你怎么了？」	玲奈	「哎呀？雙鐵先生，你怎麼了？」		
105	双鉄		「ああ。いや――うむ」	双铁	「啊。我没事——嗯」	雙鐵	「啊。我沒事——嗯」		
106			炭鉱が稼働していたころには、\n全てが上手く機能していたことだろう。が……		在煤矿还在运作的时期，所有功能应该都是正常的。但是……		在煤礦還在運作的時期，所有功能應該都是正常的。但是……		
107	双鉄		「なぁ、ポーレッ――っと？」	双铁	「我说，波莱——特？」	雙鐵	「我說，波萊——特？」		
108			いつの間に、ポーレットを引き離してしまってる。		不知不觉间，我把波莱特落在了后面。		不知不覺間，我把波萊特落在了後面。		
109			ポーレットは下を向き、その足取りはのろのろしてる。\nそういえば、さっきからずっと無口だったし――		她低着头，脚步慢悠悠的。我这才想起来，她好像已经沉默了好一会儿——		她低著頭，腳步慢悠悠的。我這才想起來，她好像已經沉默了好一會——		
110	双鉄		「すまん、ポーレット。\n考え事の最中か？」	双铁	「抱歉，波莱特。你在想事情吗？」	雙鐵	「抱歉，波萊特。你在想事情嗎？」		
111	ポーレット		「えっ！？　あ、はいっ！」	波莱特	「哎！？啊，是！」	波萊特	「哎！？啊，是！」		
112			居眠り中に教師にさされた生徒のように、\nポーレットはひどく驚き体をビクリとさせてしまう。		就好像上课打瞌睡被老师推醒一样，波莱特惊讶不已，整个人都绷了起来。		就好像上課打瞌睡被老師推醒一樣，波萊特驚訝不已，整個人都繃了起來。		
113	双鉄		「ああ、やはり邪魔をしてしまったか」	双铁	「啊，我果然打扰到你了」	雙鐵	「啊，我果然打擾到你了」		
114	ポーレット		「いえ、全然。その――今は、\n炭鉱の視察をする時間ですし」	波莱特	「不，完全没有。那个——而且我们正要去视察煤矿」	波萊特	「不，完全沒有。那個——而且我們正要去視察煤礦」		
115			わたわた手を振り、\nポーレットは少し早口に切り返してくる。		波莱特摆摆手，有些着急地答道。		波萊特擺擺手，有些著急地答道。		
116	ポーレット		「それより、何です？　わたしに、何か」	波莱特	「先不说这个，有什么事吗？有什么我能帮上忙的——」	波萊特	「先不說這個，有什麼事嗎？有什麼我能幫上忙的——」		
117	双鉄		「ああ、聞きたいことがある。\nこの炭鉱は、まだ石炭埋蔵量を残しているのか？」	双铁	「对，我有事想问你。这座煤矿，煤炭储量还多不多？」	雙鐵	「對，我有事想問你。這座煤礦，煤炭儲量還多不多？」		
118	ポーレット		「え？　あ、はい。多分――間違いなく」	波莱特	「哎？啊，应该有不少。大概——不会有错」	波萊特	「哎？啊，應該有不少。大概——不會有錯」		
119			言って、軽い咳払い。\nポーレットの声が、教師のような調子に変わる。		说完，波莱特清了清嗓子，用教师的口吻继续说道。		說完，波萊特清了清嗓子，用教師的口吻繼續說道。		
120	ポーレット		「石炭需要の激減がなければ、事業は継続されていた。\nそういう話ですから、当然、埋蔵量は十分なはずです」	波莱特	「如果当初煤炭的需求量没有锐减，矿山本该继续经营下去的。由此可以推断，储量应该是十分充足的」	波萊特	「如果當初煤炭的需求量沒有銳減，礦山本該繼續經營下去的。由此可以推斷，儲量應該是十分充足的」		
121	双鉄		「では、採炭を再開することは可能か？\nつまり、権利や許認可関係において」	双铁	「那么，能否重新开采煤炭？从权限和许可角度来说可行吗」	雙鐵	「那麼，能否重新開採煤炭？從權限和許可角度來說可行嗎」		
122	ポーレット		「は？　採炭って――\nええと、体験採掘のレベル以上で、ですか？」	波莱特	「啊？开采煤炭——那个，你是说比体验采矿更大规模的吗？」	波萊特	「啊？開採煤炭——那個，你是說比體驗採礦更大規模的嗎？」		
123	双鉄		「ああ。もっと大規模な――\nそうでなくては、再稼働を果たせん気がする」	双铁	「没错。更大规模——我觉得不这样的话，矿山就无法恢复运作」	雙鐵	「沒錯。更大規模——我覺得不這樣的話，礦山就無法恢復運作」		
124	ポーレット		「再稼働、って？」	波莱特	「恢复运作是指？」	波萊特	「恢復運作是指？」		
125	れいな		「わああ！　ほんとですぅ」	玲奈	「哇！真的呀」	玲奈	「哇！真的呀」		
126	ポーレット		「あ！」	波莱特	「啊！」	波萊特	「啊！」		
127			れいなも、そしてポーレットも、\n僕の懸念に、同じくたどり着いてくれたようだ。		看来玲奈和波莱特，都明白了我的担忧。		看來玲奈和波萊特，都明白了我的擔憂。		
128			\x%l8620;#00ffc040;8620%l;#;を動かすのにさえ、\nあれほどたくさんの石炭を必要とするのだから――		仅仅是开动\x%l8620;#00ffc040;８６２０%l;#;，就需要那么多的煤炭——		僅僅是開動\x%l8620;#00ffc040;８６２０%l;#;，就需要那麼多的煤炭——		
129	双鉄		「石炭火力発電所だ。自前で石炭を供給できねば、\nどれほどの高コストになるか、想像もつかん」	双铁	「今后还要启用燃煤火力发电厂。如果不用自家煤炭维持供给，成本将高到难以想象」	雙鐵	「今後還要啟用燃煤火力發電廠。如果不用自家煤炭維持供給，成本將高到難以想像」		
130	ポーレット		「そう、ですよね……」	波莱特	「说得没错啊……」	波萊特	「說得沒錯啊……」		
131			少し青ざめた顔をして、\nそれでもポーレットは、力強い頷きを返してくれる。		波莱特的脸色有些发青，但她仍然用力点了点头。		波萊特的臉色有些發青，但她仍然用力點了點頭。		
132	ポーレット		「権利関係と許認可関係の確認、引き受けました。\nできるだけ早期に状況を整理して、お返事します」	波莱特	「我会去确认权限及许可的相关事宜。我尽快将目前的情况整理出来，给你答复」	波萊特	「我會去確認權限及許可的相關事宜。我儘快將目前的情況整理出來，給你答覆」		
133	双鉄		「うむ。よろしく頼む」	双铁	「嗯。拜托了」	雙鐵	「嗯。拜託了」		
